,id,a4a,a6a,a2,a0,b1,b5,b7a,d1a1x,g1a,BMj4c,j30_environment_pos,BMj5,n2a,n2e,n2b,n2f,n2i,n2p,BMGa1,BMGa2,BMGa4,BMGb1,BMGb2,BMGc2,BMGc5,BMGc7,BMGc8,BMGc16,BMGc18,BMGc23a,BMGc23b,BMGc23c,BMGc23d,BMGc23e,BMGc23f,BMGc23g,BMGc23h,BMGc23i,BMGc23j,BMGc24,BMGc25,BMGc27,BMGd6,BMGd7,BMGe1,BMGe2,BMGe2u,ecology_index
248,2280,Розничная торговля,Малый,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1992,0,"Розничная продажа В основном Продуктов питания, Включая Напитки, И Табачных изделий В Неспециализированных магазинах",100,1.0,2,0,8000000,,120000,150000,45000000,,0,0,0,0,0,,,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,1
249,2282,Розничная торговля,Малый,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,"Розничная продажа В основном Продуктов питания, Включая Напитки, И Табачных изделий В Неспециализированных магазинах",0,1.0,8,0,2200000,,70000,30000,1800000,,0,0,0,0,0,Каждый год,,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,1
250,2283,Розничная торговля,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2001,0,Розничная Продажа Автомобильного Топлива В Специализированных Магазинах,0,1.0,3,0,6000000,,160000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении регулирования,0,0,0,0,,0
251,2285,Розничная торговля,Малый,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,1,"Розничная продажа В основном Продуктов питания, Включая Напитки, И Табачных изделий В Неспециализированных магазинах",0,1.0,5,1,5000000,,Не знаю,Не знаю,Не знаю,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
252,2287,Розничная торговля,Средний,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,1,Розничная Торговля Алкогольными напитками,100,1.0,6,0,14800000,,80000,Не знаю,16000000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении регулирования,0,0,0,0,,0
253,2305,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1994,0,Деятельность В области Телерадиовещания,100,1.0,7,0,2300000,,700000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
254,2308,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,1,Деятельность по созданию И использованию Баз Данных и Информационных Ресурсов,100,1.0,6,0,3360000,,410000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении будущих цен,0,0,0,0,,0
255,2311,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1997,0,"Оптовая Торговля Древесиной, Строительными Материалами И Сантехническим Оборудованием",100,1.0,3,0,8700000,,700000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
256,2312,Готовые Металлические Изделия,Крупный,Сибирский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2014,0,"Производство Строительных Металлоконструкций, Изделий и Их Частей",0,1.0,9,0,80000000,40000000,250000,Не знаю,,60000000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,0
257,2319,Еда,Крупный,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1998,0,Производство мороженого,0,0.25,5,1,Не знаю,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждое полугодие,Каждое полугодие,0,,1,0,0,0,0,1,0,0,0,0,0,0,,1,,1,0,0,0,,1
258,2320,Еда,Крупный,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1986,0,Приготовление и консервирование Рыбы,100,0.25,6,1,200000000,50000000,20000000,20000000,,30000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
259,2321,Другое Производство,Малый,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,"Производство Деревянных Строительных Конструкций, Столярных Изделий",100,0.25,7,0,Не знаю,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,0
260,2322,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,1,Розничная Торговля Мебелью,Не применимо,0.25,6,0,3000000,,Не знаю,Не знаю,1500000,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
261,2323,Другое Производство,Малый,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,Производство Пластмассовых Изделий Для Строительства,100,0.25,9,0,4300000,3000000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
262,2324,Другое Производство,Средний,Дальневосточный федеральный округ,Производство,"Акционерное общество, акции которого обращаются на фондовом рынке",1996,1,Публикация книг,Не применимо,0.5,1,0,12000000,3000000,Не знаю,Не знаю,,1000000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
263,2325,Другое Производство,Малый,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2013,0,"Производство Печатной продукции (Визитных карточек, Буклетов, Брошюр и Сертификатов)",Не применимо,0.5,8,0,4000000,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
264,2329,Другое Производство,Средний,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2011,0,Производство Хозяйственных товаров Из Пластика,Не применимо,0.5,3,0,2000000,1500000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
265,2338,Готовые Металлические Изделия,Малый,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Производство Государственных регистрационных знаков (Производство Готовых металлических изделий),100,0.25,6,0,4000000,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,0
266,2339,Машины и оборудование,Малый,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2010,0,Производство Различного Оборудования Для Оборонной промышленности,Не применимо,0.75,5,0,5800000,7000000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,1
267,2341,Готовые Металлические Изделия,Средний,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1999,1,"Производство Строительных Металлоконструкций, Изделий и Их Частей",50,0.5,2,0,7000000,1500000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
268,2344,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1999,1,"Розничная Продажа Продуктов Питания, Напитков, Табачных Изделий",Не применимо,0.5,1,0,1500000,,Не знаю,Не знаю,Не знаю,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
269,2348,Другое Производство,Средний,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,1,Производство Электрораспределительного И Управляющего Оборудования,100,0.5,4,0,7500000,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,1,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
270,2350,Другое Производство,Малый,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2008,0,Производство Электрораспределительного Оборудования,Не применимо,0.5,4,0,3850000,Не знаю,Не знаю,Не знаю,,Не знаю,0,0,1,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,1
271,2351,Другое Производство,Средний,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2010,0,"Производство Электрогенераторов, Электродвигателей И Трансформаторов",0,0.5,4,0,17000000,5000000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,0,0,0,0,1,0,0,Ничего из вышеперечисленного  ,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,2
273,2353,Другое Производство,Средний,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2015,0,Переработка отходов И Лома Драгоценных Металлов,100,0.25,8,0,10000000,7000000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
274,2354,Другое Производство,Средний,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Строительство судов и Плавучих сооружений,80,0.5,7,0,25000000,10000000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,0,0,0,0,0,1,0,Ничего из вышеперечисленного  ,1,,0,0,0,0,,1
276,2366,Другие Услуги,Средний,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2015,0,Оптовая Торговля Электротехническим Производственным Оборудованием,100,0.5,6,0,10000000,,155000,Не знаю,,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
277,2370,Другие Услуги,Средний,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,1,Строительные Работы По Монтажу Зданий,50,0.25,3,0,9000000,,200000,Не знаю,,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
278,2373,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2017,0,Розничная Торговля Хозяйственными Товарами,Не применимо,0.5,9,0,3500000,,Не знаю,Не знаю,Не знаю,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не знаю,0,0,0,0,,0
279,2376,Другие Услуги,Малый,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Оптовая Продажа Специальной Одежды,Не применимо,1.0,4,0,50000000,,35000,Не знаю,,,0,0,1,0,0,Каждое полугодие,,0,,0,0,0,0,0,1,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,1
280,2378,Другие Услуги,Средний,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,0,Деятельность ресторана,Не применимо,0.5,2,0,5000000,,Не знаю,Не знаю,,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
281,2379,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1994,0,Розничная Торговля Обоями И Сопутствующими Товарами,Не применимо,0.75,1,0,3500000,,Не знаю,Не знаю,Не знаю,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
282,2382,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Розничная продажа Лакокрасочных материалов,Не применимо,0.75,9,0,15000000,,30000,Не знаю,Не знаю,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
283,2385,Другие Услуги,Малый,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1999,0,Оптовая торговля Непродовольственными товарами,100,0.25,1,0,3500000,,Не знаю,Не знаю,,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении регулирования,0,0,0,0,,0
284,2405,Другие Услуги,Крупный,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,Оптовая Торговля Продуктами Питания,Не применимо,0.75,7,0,Не знаю,,500000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,1,0,0,,0,,Не знаю,0,0,0,,1
285,2406,Другие Услуги,Крупный,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2008,1,Оптовая Торговля Мясом,0,0.5,1,0,105000000,,Не знаю,Не знаю,,,0,0,0,0,0,,,0,,Не знаю,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
286,2407,Другие Услуги,Средний,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2014,0,Оптовая Торговля Автомобильными Запчастями,Не применимо,1.0,8,0,8500000,,830000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
287,2409,Другие Услуги,Крупный,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,Оптовая Торговля Упаковочными Материалами,Не применимо,0.5,9,1,130000000,,650000,Не знаю,,,0,0,0,0,0,Каждый квартал,,0,,1,0,0,0,0,1,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,1
288,2413,Розничная торговля,Средний,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,1,Розничная Торговля Мясомолочными Продуктами И Кондитерскими Изделиями,0,1.0,5,1,4150000,,115000,Не знаю,8400000,,0,0,0,0,0,Каждый месяц,,0,,0,0,1,0,0,1,0,0,0,0,0,0,Ничего из вышеперечисленного  ,0,Нехватка финансовых ресурсов,1,0,0,0,,2
289,2415,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,0,Ремонт Электронной Бытовой Техники,Не применимо,0.75,4,0,1300000,,Не знаю,Не знаю,Не знаю,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
290,2416,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,Розничная Торговля Автомобильными Запчастями И Комплектующими Торговля,Не применимо,1.0,3,0,5300000,,40000,Не знаю,6000000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не знаю,1,0,0,0,,0
291,2418,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,1,"Розничная Продажа Продуктов Питания, Напитков, Табачных Изделий",Не применимо,0.5,8,0,2000000,,Не знаю,Не знаю,Не знаю,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
292,2421,Другие Услуги,Средний,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2016,0,Деятельность Кафе,Не применимо,0.25,4,0,5500000,,Не знаю,Не знаю,,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
293,2422,Другие Услуги,Крупный,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2017,0,Оказание Услуг По Морской перевозке грузов,Не применимо,0.5,8,0,Не знаю,,Не знаю,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,0
294,2429,Другие Услуги,Малый,Дальневосточный федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,1,Разработка пользовательского программного Обеспечения,Не применимо,1.0,7,0,6900000,,Не знаю,Не знаю,,,0,0,0,0,0,,,0,,Не знаю,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
295,2434,Розничная торговля,Малый,Дальневосточный федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",1993,1,Розничная Продажа Меха,Не применимо,0.25,3,0,2000000,,Не знаю,0,Не знаю,,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не выгодно,0,0,0,0,,0
296,2435,Другое Производство,Малый,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2011,1,"Производство Готовых Текстильных изделий, За исключением Одежды (Покрывала, Одеяла, Постельное Белье)",Не применимо,0.5,1,0,500000,200000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
297,2436,Другое Производство,Средний,Дальневосточный федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2008,0,Строительство судов,50,0.25,7,0,7000000,2500000,Не знаю,Не знаю,,Не знаю,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,1,0,0,0,0,1,0,0,Ничего из вышеперечисленного  ,0,Нехватка финансовых ресурсов,0,0,0,0,,2
298,2533,Еда,Малый,Сибирский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2012,0,Производство Муки и Крупяных Изделий,100,1.0,1,1,1500000,500000,140000,160000,,2500000,0,0,0,1,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
299,2535,Готовые Металлические Изделия,Крупный,Сибирский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,"Производство Строительных Металлоконструкций, Изделий и Их Частей",100,1.0,7,0,37000000,10000000,300000,500000,,60000000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении регулирования,0,0,0,0,,0
300,2541,Другое Производство,Средний,Сибирский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,0,Распиловка И Строгание Древесины,100,0.75,9,0,5500000,3700000,210000,300000,,9800000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
301,2549,Другое Производство,Средний,Сибирский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,0,Производство Пластмассовых Изделий,100,0.75,2,0,11800000,3000000,160000,120000,,17500000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
302,2552,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2009,0,"Электромонтажные, Санитарно-технические И Другие Строительно-Монтажные Работы",100,1.0,3,0,2300000,,Не знаю,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
303,2559,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,"Ремонт Машин И Оборудования, Используемых В Строительстве",100,1.0,1,0,4300000,,70000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
304,2563,Розничная торговля,Средний,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2015,0,Розничная Продажа Бытовых Электроприборов,100,1.0,3,0,8700000,,70000,Не знаю,3000000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,2600,0,,0
306,2569,Другое Производство,Средний,Сибирский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2005,0,Производство мебели,100,1.0,7,0,14000000,5300000,260000,Не знаю,,21000000,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении регулирования,0,0,6105,0,,0
307,2585,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,"Строительство жилых и нежилых зданий (Частные дома, Офисные здания, Торговые центры)",100,1.0,4,0,46000000,,380000,430000,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении регулирования,0,0,0,0,,0
308,2610,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,1,"Оптовая Торговля Материалами Для Покраски (Лаки, Краски)",100,1.0,9,1,4600000,,300000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
309,2622,Розничная торговля,Малый,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2002,0,Розничная Продажа Спортивного Инвентаря,100,0.5,4,0,5000000,,40000,60000,5500000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
310,2623,Розничная торговля,Средний,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2006,1,Розничная Торговля Лекарственными средствами,100,1.0,2,0,14000000,,110000,Не знаю,11000000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Нехватка финансовых ресурсов,0,0,0,0,,0
311,2624,Розничная торговля,Средний,Сибирский федеральный округ,Розничная торговля,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2015,0,"Розничная Торговля Продуктами Питания, Напитками, Табаком",70,1.0,9,1,25380000,,230000,180000,25800000,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
312,2642,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2003,0,Разработка Компьютерного программного обеспечения,100,1.0,1,1,6000000,,70000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Не является приоритетом по сравнению с другими инвестициями,0,0,0,0,,0
313,2649,Другие Услуги,Малый,Сибирский федеральный округ,Другие услуги,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2007,0,Оптовая Торговля Мотоциклами И Их Запчастями,100,1.0,6,0,6000000,,200000,Не знаю,,,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Неопределенность в отношении регулирования,0,0,0,0,,0
314,2653,Еда,Малый,Южный федеральный округ и Северо-Кавказский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2013,0,Производство чая и Кофе,0,0.75,4,0,3300000,1800000,700000,Не знаю,,5800000,0,0,0,0,0,,,0,,0,0,0,0,0,1,0,0,0,0,0,0,,1,,0,0,2000,0,,1
315,2656,Другое Производство,Средний,Южный федеральный округ и Северо-Кавказский федеральный округ,Производство,"Акционерная компания с неторгуемыми акциями или акции, обращающиеся в частном порядке",2004,0,Публикация газет,Не применимо,0.75,6,0,6300000,1000000,30000,0,,7330000,0,0,0,0,0,Каждый месяц,Каждый месяц,0,,0,0,0,0,0,1,1,0,1,0,0,0,"Минимизация отходов, вторичная переработка и управление отходами",0,Нехватка финансовых ресурсов,0,0,6000,0,,3
